ID	Gene.symbol	Gene.title	log2(fold change)(AR vs Control)	-log10(Pvalue)(AR vs Control)
39850_at	ANK2	ankyrin 2, neuronal	-0.788	2.515
39854_r_at	PNPLA2	patatin like phospholipase domain containing 2	-0.649	3.41
39855_at	FZR1	fizzy/cell division cycle 20 related 1	-0.316	2.412
39862_at	PRSS53	protease, serine 53	-0.433	3.136
39866_at	USP22	ubiquitin specific peptidase 22	-0.691	2.13
39875_at	WASL	Wiskott-Aldrich syndrome like	-0.537	2.326
39876_at	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 (putative)	0.367	2.194
39878_at	PCDH9	protocadherin 9	-0.257	2.217
39880_at	LRRC37A2///LRRC37A3///LRRC37A4P///LRRC37A	leucine rich repeat containing 37 member A2///leucine rich repeat containing 37 member A3///leucine rich repeat containing 37 member A4, pseudogene///leucine rich repeat containing 37A	-0.695	3.622
39882_at	TIMM8A	translocase of inner mitochondrial membrane 8 homolog A (yeast)	-0.446	2.278
39887_at	GRIP1	glutamate receptor interacting protein 1	-0.356	2.022
39893_at	GNG7	G protein subunit gamma 7	-0.619	2.204
39895_r_at	BRD1	bromodomain containing 1	-0.628	3.485
39896_at	DHX16	DEAH-box helicase 16	-0.485	1.99
39897_at	YTHDC1	YTH domain containing 1	1.151	5.721
39899_at	CADM4	cell adhesion molecule 4	-0.91	2.187
398_at	DDX18	DEAD-box helicase 18	0.382	2.791
39904_at	CIB2	calcium and integrin binding family member 2	-0.437	3.186
39906_r_at	ARFGAP3	ADP ribosylation factor GTPase activating protein 3	0.765	2.371
39911_at			-0.43	4.054
39914_r_at	TRPM2	transient receptor potential cation channel subfamily M member 2	-0.359	2.871
39919_at	C1QL1	complement C1q like 1	-0.486	2.523
39920_r_at	C1QL1	complement C1q like 1	-0.595	3.861
39929_at	KIAA0922	KIAA0922	0.399	2.19
39936_at	CCR2	C-C motif chemokine receptor 2	1.219	4.662
39945_at	FAP	fibroblast activation protein alpha	0.734	3.518
39950_at	SMPDL3A	sphingomyelin phosphodiesterase acid like 3A	-0.741	2.238
39959_at	UBD///GABBR1	ubiquitin D///gamma-aminobutyric acid type B receptor subunit 1	2.537	5.29
39962_at	CDC42BPA	CDC42 binding protein kinase alpha	-0.37	2.812
39964_at	RP2	retinitis pigmentosa 2 (X-linked recessive)	0.801	2.305
39968_at	LTC4S	leukotriene C4 synthase	0.385	3.282
39970_at	NR0B1	nuclear receptor subfamily 0 group B member 1	-0.571	2.809
39972_at	GPR17	G protein-coupled receptor 17	-0.516	4.079
39973_at	P3H3	prolyl 3-hydroxylase 3	-0.361	3.122
39977_at	ZBTB11	zinc finger and BTB domain containing 11	0.584	3.024
39979_at	F10	coagulation factor X	-0.258	2.013
39981_at	MSR1	macrophage scavenger receptor 1	0.794	4.742
39984_g_at	GLMN	glomulin, FKBP associated protein	1.044	3.265
39986_at	METTL21B	methyltransferase like 21B	-0.301	1.943
39988_at	TAP2	transporter 2, ATP binding cassette subfamily B member	0.441	3.065
39994_at	CCR1	C-C motif chemokine receptor 1	0.935	2.494
39997_at	CFP	complement factor properdin	0.496	2.634
40004_at	SIX1	SIX homeobox 1	-0.256	2.67
40006_at	ST3GAL2	ST3 beta-galactoside alpha-2,3-sialyltransferase 2	-0.44	3.572
40015_at	MAST4	microtubule associated serine/threonine kinase family member 4	-0.383	3.739
40016_g_at	MAST4	microtubule associated serine/threonine kinase family member 4	-0.551	4.485
40019_at	EVI2B	ecotropic viral integration site 2B	2.948	6.265
40022_at	FKTN	fukutin	-0.614	2.195
40024_at	STAC	SH3 and cysteine rich domain	-0.523	3.793
40026_g_at	ATP5S	ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)	1.111	5.824
40029_at	MEGF6	multiple EGF like domains 6	-0.784	2.852
40030_at	PRKY	protein kinase, Y-linked, pseudogene	0.382	2.075
40035_at	KLK11	kallikrein related peptidase 11	-0.301	2.713
40037_at	XPNPEP2	X-prolyl aminopeptidase 2	-1.596	5.328
40038_at	MIR6132///ST7-OT3///ST7	microRNA 6132///ST7 overlapping transcript 3///suppression of tumorigenicity 7	-0.756	5.505
40041_at	NDC80	NDC80, kinetochore complex component	1.045	4.904
40050_at	CBFA2T2	CBFA2/RUNX1 translocation partner 2	-0.292	2.341
40051_at	TRAM2	translocation associated membrane protein 2	0.432	3.881
40055_s_at	MMP19	matrix metallopeptidase 19	-0.338	2.441
40056_at	SLC35B1	solute carrier family 35 member B1	-0.391	2.736
40063_at	CALCOCO2	calcium binding and coiled-coil domain 2	0.766	4.051
40066_at	UBA3	ubiquitin like modifier activating enzyme 3	0.958	4.262
40067_at	ELF1	E74 like ETS transcription factor 1	1.083	6.246
40069_at	SVIL	supervillin	0.524	2.075
40074_at	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	1.25	6.924
40076_at	TPD52L2	tumor protein D52 like 2	1.171	4.919
40077_at	ACO1	aconitase 1	-0.694	4.547
40081_at	PLTP	phospholipid transfer protein	0.614	3.45
40083_at	SETX	senataxin	0.747	5.34
40091_at	BCL6	B-cell CLL/lymphoma 6	1.278	2.316
40093_at	BCAM	basal cell adhesion molecule (Lutheran blood group)	-0.31	1.874
40095_at	CA2	carbonic anhydrase 2	-1.352	4.86
400_at	PDX1	pancreatic and duodenal homeobox 1	-0.559	3.248
40100_at	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2	0.325	1.881
40102_at	OSBPL2	oxysterol binding protein like 2	-0.444	2.55
40108_at	BZW1	basic leucine zipper and W2 domains 1	0.83	3.639
40110_at	IDH3B	isocitrate dehydrogenase 3 (NAD(+)) beta	-0.591	4.673
40113_at	TRIB2	tribbles pseudokinase 2	0.698	3.25
40117_at	MCM6	minichromosome maintenance complex component 6	0.647	6.74
40120_at	HAGH	hydroxyacylglutathione hydrolase	-0.56	2.788
40129_at	PRKDC	protein kinase, DNA-activated, catalytic polypeptide	0.653	2.925
40133_s_at	GRHPR	glyoxylate and hydroxypyruvate reductase	-0.854	2.535
40141_at	CUL4B	cullin 4B	0.502	3.523
40146_at	RAP1B	RAP1B, member of RAS oncogene family	1.283	5.651
40149_at	SH2B1	SH2B adaptor protein 1	-0.224	2.197
40150_at	SNRPD3	small nuclear ribonucleoprotein D3 polypeptide	0.642	2.341
40151_s_at	PEX5	peroxisomal biogenesis factor 5	-0.669	6.708
40152_r_at	PEX5	peroxisomal biogenesis factor 5	-0.893	4.522
40153_at	TAP1	transporter 1, ATP binding cassette subfamily B member	1.623	7.447
40173_at	FRAT2	frequently rearranged in advanced T-cell lymphomas 2	-0.352	2.387
40174_at	CLCN2	chloride voltage-gated channel 2	-0.284	1.946
40176_at	TRIM27	tripartite motif containing 27	0.297	2.032
40178_at	ZBTB33	zinc finger and BTB domain containing 33	-0.583	2.267
40180_at	IRS2	insulin receptor substrate 2	-0.7	3.592
40182_s_at	CARM1	coactivator associated arginine methyltransferase 1	-0.285	2.335
40183_at	YIPF2	Yip1 domain family member 2	-0.433	2.325
40184_at	CSNK1A1	casein kinase 1 alpha 1	0.73	5.901
40185_at	GFAP	glial fibrillary acidic protein	-0.278	2.119
40186_at	DUSP9	dual specificity phosphatase 9	-0.886	5.572
40188_f_at			-0.239	2.014
40192_at			-0.535	2.57
40195_at	H2AFX	H2A histone family member X	0.312	2.53
40200_at	HSF1	heat shock transcription factor 1	-0.332	3.11
40201_at	DDC	dopa decarboxylase	-2.333	4.734
40210_at	RAB13	RAB13, member RAS oncogene family	0.463	2.327
40211_at	HNRNPA1P10///HNRNPA1	heterogeneous nuclear ribonucleoprotein A1 pseudogene 10///heterogeneous nuclear ribonucleoprotein A1	0.855	2.412
40215_at	UGCG	UDP-glucose ceramide glucosyltransferase	1.232	6.232
40217_s_at	CDS1	CDP-diacylglycerol synthase 1	-0.356	1.973
40225_at	GAK	cyclin G associated kinase	0.573	3.691
40226_at	GAK	cyclin G associated kinase	-0.446	3.049
40227_at	DCBLD2	discoidin, CUB and LCCL domain containing 2	0.749	6.007
40229_at	TOM1L1	target of myb1 like 1 membrane trafficking protein	-0.688	3.275
40235_at	TNK2	tyrosine kinase non receptor 2	-0.391	2.362
40239_g_at	IQCK	IQ motif containing K	-0.889	7.232
40243_at	GNAL	G protein subunit alpha L	-0.273	1.985
40263_at	ZFPL1	zinc finger protein like 1	-0.533	3.008
40264_g_at	ZFPL1	zinc finger protein like 1	0.232	2.005
40268_at	FOSL2	FOS like 2, AP-1 transcription factor subunit	-0.427	5.588
40271_at	NUP93	nucleoporin 93	-0.286	3.056
40280_at	LRRC23	leucine rich repeat containing 23	-0.768	6.538
40282_s_at	CFD	complement factor D	1.168	8.628
40286_r_at	KLHL35	kelch like family member 35	-0.577	3.735
40288_r_at	KLHL35	kelch like family member 35	-0.343	2.542
40291_r_at	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	-0.545	3.156
40299_at	GPR161	G protein-coupled receptor 161	-0.537	4.677
402_s_at	ICAM3	intercellular adhesion molecule 3	0.879	4.556
40300_g_at	GPR161	G protein-coupled receptor 161	0.331	3.818
40308_at	ATAD2B	ATPase family, AAA domain containing 2B	0.533	5.44
40310_at	TLR2	toll like receptor 2	2.122	4.46
40319_at	DYNC1I1	dynein cytoplasmic 1 intermediate chain 1	-0.445	2.198
40321_at	IL1RL1	interleukin 1 receptor like 1	-0.397	2.434
40323_at	CD38	CD38 molecule	0.365	2.281
40324_r_at	TOP3B	topoisomerase (DNA) III beta	-0.437	3.741
40325_at	NTHL1	nth like DNA glycosylase 1	0.564	6.935
40328_at	TWIST1	twist family bHLH transcription factor 1	-0.609	3.836
40332_at	OGFR	opioid growth factor receptor	0.47	4.11
40333_at	BMP4	bone morphogenetic protein 4	-0.337	2.486
40335_at	CLCN4	chloride voltage-gated channel 4	-0.496	3.681
40339_at	GABRP	gamma-aminobutyric acid type A receptor pi subunit	0.495	2.706
40342_at	DAZ4///DAZ2///DAZ3///DAZ1	deleted in azoospermia 4///deleted in azoospermia 2///deleted in azoospermia 3///deleted in azoospermia 1	-0.425	2.686
40351_at	GNB3	G protein subunit beta 3	-0.248	2.175
40365_at	GNA15	G protein subunit alpha 15	0.412	2.816
40366_at	SELP	selectin P	0.415	3.143
40368_r_at	CPN2	carboxypeptidase N subunit 2	-0.914	2.118
40369_f_at	HLA-G	major histocompatibility complex, class I, G	1.527	10.176
40370_f_at	HLA-G	major histocompatibility complex, class I, G	1.511	10.051
40371_at	DRD2	dopamine receptor D2	-0.397	2.584
40372_at	PNLIPRP1	pancreatic lipase related protein 1	-0.716	2.63
40374_at	ANKRD1	ankyrin repeat domain 1	-0.437	3.659
40382_at	CRH	corticotropin releasing hormone	-0.318	1.848
40383_at	THOC5	THO complex 5	-0.311	1.852
40384_at	NPHP1	nephrocystin 1	-0.5	2.528
40407_at	KPNA2	karyopherin subunit alpha 2	1.595	7.548
40408_at	CARS	cysteinyl-tRNA synthetase	0.555	4.015
40409_at	ALDH3A2	aldehyde dehydrogenase 3 family member A2	-1.152	4.66
40411_at	NCOA6	nuclear receptor coactivator 6	-0.547	2.24
40415_at	ACAA1	acetyl-CoA acyltransferase 1	-0.982	3.619
40417_at	CCT5	chaperonin containing TCP1 subunit 5	0.675	2.679
40420_at	STK10	serine/threonine kinase 10	0.671	4.798
40434_at	PODXL	podocalyxin like	-1.228	3.542
40437_at	TMEM87A	transmembrane protein 87A	0.563	3.175
40438_at	PPP1R12A	protein phosphatase 1 regulatory subunit 12A	1.06	2.982
40442_f_at	SERBP1	SERPINE1 mRNA binding protein 1	-1.038	6.833
40445_at	ELF3	E74 like ETS transcription factor 3	0.341	2.006
40453_s_at	SRSF5	serine and arginine rich splicing factor 5	0.659	2.536
40455_at	ENDOD1	endonuclease domain containing 1	0.361	2.094
40460_s_at	ACOX1	acyl-CoA oxidase 1	0.275	1.956
40461_at	ZHX3	zinc fingers and homeoboxes 3	-0.35	2.002
40462_at	TRPC4AP	transient receptor potential cation channel subfamily C member 4 associated protein	-0.388	1.904
40464_g_at	TNPO1	transportin 1	1.055	6.358
40467_at	SDHD	succinate dehydrogenase complex subunit D	-0.84	4.322
40468_at	FNBP1	formin binding protein 1	1.453	7.353
40472_at	LPCAT4	lysophosphatidylcholine acyltransferase 4	-0.562	3.199
40473_at	STK24	serine/threonine kinase 24	0.465	3.268
40474_r_at	KPNA1	karyopherin subunit alpha 1	-0.614	2.236
40475_at	CAPN6	calpain 6	-0.445	2.706
40479_at	FYN	FYN proto-oncogene, Src family tyrosine kinase	-0.711	2.344
40481_r_at	FYN	FYN proto-oncogene, Src family tyrosine kinase	-0.513	1.853
40490_at	DDX21	DEAD-box helicase 21	0.941	2.328
40492_at	FRYL	FRY like transcription coactivator	0.435	4.589
40493_at	CD44	CD44 molecule (Indian blood group)	2.157	8.205
40496_at	C1S	complement component 1, s subcomponent	2.194	4.883
40499_r_at	NPRL2	NPR2-like, GATOR1 complex subunit	-0.574	4.62
404_at	IL4R	interleukin 4 receptor	1.164	5.598
40500_at	NDRG4	NDRG family member 4	-0.492	3.659
40502_r_at	MYBPC1	myosin binding protein C, slow type	-0.447	2.281
40505_at	UBE2L6	ubiquitin conjugating enzyme E2 L6	1.712	10.8
40507_at	SLC2A1	solute carrier family 2 member 1	0.411	2.64
40511_at	GATA3	GATA binding protein 3	-0.348	2.356
40516_at	AHR	aryl hydrocarbon receptor	0.989	3.582
40518_at	PTPRC	protein tyrosine phosphatase, receptor type C	3.204	7.209
40519_at	PTPRC	protein tyrosine phosphatase, receptor type C	3.504	6.871
40520_g_at	PTPRC	protein tyrosine phosphatase, receptor type C	1.087	5.209
40521_at	RGL2	ral guanine nucleotide dissociation stimulator like 2	0.404	2.74
40522_at	GLUL	glutamate-ammonia ligase	1.953	6.211
40523_at	FOXA2	forkhead box A2	0.59	2.674
40537_at	EIF5B	eukaryotic translation initiation factor 5B	0.443	2.385
40538_at	SLC26A10	solute carrier family 26 member 10	-0.434	2.128
40541_at	ASS1	argininosuccinate synthase 1	-2.023	9.128
40542_at	ASCL1	achaete-scute family bHLH transcription factor 1	-0.415	3.748
40550_at	IDS	iduronate 2-sulfatase	-0.578	6.807
40552_s_at			0.565	2.451
40557_at	GUCA1B	guanylate cyclase activator 1B	-0.381	3.081
40559_at	FAM27B///FAM27C///FAM182B	family with sequence similarity 27 member B///family with sequence similarity 27 member C///family with sequence similarity 182 member B	-0.466	4.412
40564_at	NUP50	nucleoporin 50	0.544	2.798
40565_at			-0.243	2.246
40567_at	TUBA1A	tubulin alpha 1a	2.085	5.689
40571_at	MYO5A	myosin VA	0.87	4.924
40578_s_at	TMOD1	tropomodulin 1	-0.398	3.914
40580_r_at	PTMS	parathymosin	-0.557	4.526
40582_at	PTPRJ	protein tyrosine phosphatase, receptor type J	-0.65	4.633
40585_at	ADCY7	adenylate cyclase 7	1.637	6.898
40590_at			-0.56	5.045
40593_at	MIR4745///PTBP1	microRNA 4745///polypyrimidine tract binding protein 1	0.563	2.545
40596_at	TCOF1	treacle ribosome biogenesis factor 1	0.322	3.279
40597_g_at	TCOF1	treacle ribosome biogenesis factor 1	-0.666	4.865
40598_at	STARD5	StAR related lipid transfer domain containing 5	-0.316	2.648
40599_at	IL16	interleukin 16	-0.657	2.622
405_at	RXRA	retinoid X receptor alpha	-0.376	2.957
40602_at	SPRED2	sprouty related EVH1 domain containing 2	-0.543	2.878
40604_at	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2	0.26	2.039
40607_at	DPYSL2	dihydropyrimidinase like 2	0.648	2.174
40608_at	ATXN7L3B	ataxin 7 like 3B	-0.55	3.547
40612_at	DOPEY1	dopey family member 1	-0.525	2.77
40613_at	C6orf62	chromosome 6 open reading frame 62	1.243	4.226
40614_at	SHB	SH2 domain containing adaptor protein B	-0.531	2.456
40615_at	SPG11	spastic paraplegia 11 (autosomal recessive)	0.698	5.199
40620_at	PAWR	pro-apoptotic WT1 regulator	-0.335	2.619
40622_r_at	UBE3B	ubiquitin protein ligase E3B	-0.613	3.712
40630_at			-0.347	3.146
40634_at	NAP1L1	nucleosome assembly protein 1 like 1	0.67	4.963
40650_r_at	CRHR1	corticotropin releasing hormone receptor 1	-0.426	2.99
40652_at	PASK	PAS domain containing serine/threonine kinase	0.309	2.158
40654_at	PEX7	peroxisomal biogenesis factor 7	-0.525	2.154
40665_at	FMO3	flavin containing monooxygenase 3	0.732	2.133
40666_at	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5	-0.54	3.004
40673_at	ACADSB	acyl-CoA dehydrogenase, short/branched chain	-1.144	2.925
40674_s_at	HOXC6	homeobox C6	-0.512	2.017
40678_at	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	-0.86	7.718
40679_at	SLC6A12	solute carrier family 6 member 12	-0.523	3.081
40683_at	GRB14	growth factor receptor bound protein 14	-0.633	2.656
40684_at	GCHFR	GTP cyclohydrolase I feedback regulator	-0.384	2.607
40698_at	CLEC2B	C-type lectin domain family 2 member B	1.467	4.408
40699_at	CD8A	CD8a molecule	1.311	5.929
40702_at	IFNG	interferon gamma	0.438	4.966
40715_at	CD180	CD180 molecule	0.54	2.966
40716_at	MAN1C1	mannosidase alpha class 1C member 1	-0.361	2.101
40720_at	TRAF3IP3	TRAF3 interacting protein 3	1.277	7.102
40721_g_at	TRAF3IP3	TRAF3 interacting protein 3	0.61	2.84
40722_at	EFCAB11	EF-hand calcium binding domain 11	-0.804	3.497
40723_at	SIT1	signaling threshold regulating transmembrane adaptor 1	0.27	2.451
40728_at	ALOX12P2	arachidonate 12-lipoxygenase pseudogene 2	-0.365	4.124
40749_at	MS4A1	membrane spanning 4-domains A1	0.528	2.017
40751_at	IZUMO4	IZUMO family member 4	-0.658	4.905
40753_at	SNCB	synuclein beta	0.247	1.849
40756_at	NPM3	nucleophosmin/nucleoplasmin 3	0.184	2.574
40757_at	GZMA	granzyme A	1.228	4.895
40759_at	MMP16	matrix metallopeptidase 16	-0.516	3.299
40762_g_at	SLC16A5	solute carrier family 16 member 5	-0.752	4.939
40765_at	LOC102724985///PDXDC1	pyridoxal-dependent decarboxylase domain-containing protein 1///pyridoxal dependent decarboxylase domain containing 1	-0.456	4.235
40771_at	MSN	moesin	1.076	6.245
40775_at	ITM2A	integral membrane protein 2A	1.844	4.712
40777_at	CTNNB1	catenin beta 1	0.679	2.098
40778_at	HSD17B10	hydroxysteroid 17-beta dehydrogenase 10	-0.291	1.972
40780_at	CTBP2	C-terminal binding protein 2	0.487	3.195
40782_at	DHRS3	dehydrogenase/reductase 3	-0.562	2.217
40786_at	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	0.801	4.587
40794_at	KLK3	kallikrein related peptidase 3	-0.432	2.006
40797_at	ADAM10	ADAM metallopeptidase domain 10	0.35	2.482
40799_at	HN1L	hematological and neurological expressed 1 like	-0.467	3.032
40801_at	GAPVD1	GTPase activating protein and VPS9 domains 1	0.514	2.108
40803_at	TMEM123	transmembrane protein 123	1.122	3.839
40804_at	NUP88	nucleoporin 88	-0.421	2.566
40815_g_at	IDS	iduronate 2-sulfatase	-0.319	2.737
40816_at	PWP1	PWP1 homolog, endonuclein	0.433	3.4
40818_at	RBPJ	recombination signal binding protein for immunoglobulin kappa J region	1.188	4.075
40821_at	AHCY	adenosylhomocysteinase	-0.687	3.163
40822_at	NFATC3	nuclear factor of activated T-cells 3	1.032	5.325
40826_at	MARK3	microtubule affinity regulating kinase 3	0.334	1.923
40829_at	WDTC1	WD and tetratricopeptide repeats 1	-0.43	3.082
40836_s_at	EML3	echinoderm microtubule associated protein like 3	-0.432	2.791
40837_at	TLE2	transducin like enhancer of split 2	-0.379	2.016
40838_at	ZNF292	zinc finger protein 292	0.866	3.621
40839_at	UBL3	ubiquitin like 3	-0.22	2.184
40841_at	TACC1	transforming acidic coiled-coil containing protein 1	0.556	2.288
40842_at	SNRPA	small nuclear ribonucleoprotein polypeptide A	0.366	1.877
40851_r_at	SEC23B	Sec23 homolog B, coat complex II component	0.594	2.64
40856_at	SERPINF1	serpin family F member 1	0.453	3.512
40861_at	MORF4L2	mortality factor 4 like 2	0.524	1.858
40863_r_at	CKB	creatine kinase B	-0.355	2.593
40865_at	TDG	thymine DNA glycosylase	0.603	4.787
40866_at	NIPSNAP1	nipsnap homolog 1 (C. elegans)	-0.762	4.969
40868_at	THUMPD1	THUMP domain containing 1	0.551	1.956
40874_at	CDV3	CDV3 homolog	0.782	5.395
40875_s_at	SNRNP70	small nuclear ribonucleoprotein U1 subunit 70	0.567	2.829
40876_at	GYG1	glycogenin 1	0.999	4.782
40880_r_at	CLCN3	chloride voltage-gated channel 3	-0.449	1.912
40884_g_at	STX16	syntaxin 16	-0.399	2.032
40885_s_at	STX16	syntaxin 16	0.469	3.02
40890_at	MTX1	metaxin 1	-0.416	3.691
40897_at	PDE6A	phosphodiesterase 6A	-0.287	2.101
40907_at			-0.409	3
40910_at	CAPZA1	capping actin protein of muscle Z-line alpha subunit 1	2.169	8.899
40911_at			-0.296	2.719
40912_s_at	BPHL	biphenyl hydrolase like	-0.533	2.823
40913_at	ATP2B4	ATPase plasma membrane Ca2+ transporting 4	0.377	3.481
40926_at	SLC6A10PB///SLC6A10P///SLC6A8	solute carrier family 6 member 8 pseudogene///solute carrier family 6 member 10, pseudogene///solute carrier family 6 member 8	-0.361	1.892
40928_at	WSB1	WD repeat and SOCS box containing 1	1.143	2.818
40940_at	VAPB	VAMP associated protein B and C	-0.491	2.007
40947_at	ISG20L2	interferon stimulated exonuclease gene 20 like 2	-0.512	4.922
40954_at	FXYD6-FXYD2///FXYD2	FXYD6-FXYD2 readthrough///FXYD domain containing ion transport regulator 2	-1.134	2.616
40955_at	PTOV1	prostate tumor overexpressed 1	-0.407	2.718
40957_at	SUZ12	SUZ12 polycomb repressive complex 2 subunit	0.57	2.623
40958_at	SPTB	spectrin beta, erythrocytic	-0.252	2.638
40959_at	PLEKHG3	pleckstrin homology and RhoGEF domain containing G3	-0.264	2.966
40960_at	B4GALT1	beta-1,4-galactosyltransferase 1	0.786	2.231
40963_at	ABCA4	ATP binding cassette subfamily A member 4	-0.357	2.893
40972_at	AKT2	AKT serine/threonine kinase 2	0.394	2.03
40975_s_at	TFIP11	tuftelin interacting protein 11	-0.531	2.175
40976_at	KATNB1	katanin regulatory subunit B1	-0.937	1.878
40980_at	CHD8	chromodomain helicase DNA binding protein 8	0.407	3.447
40983_s_at	SRR	serine racemase	0.492	4.04
40988_at	YME1L1	YME1 like 1 ATPase	0.64	2.318
40990_at	TSPAN5	tetraspanin 5	0.304	3.03
40992_s_at	SAP30	Sin3A associated protein 30	0.55	4.128
40994_at	GRK5	G protein-coupled receptor kinase 5	0.365	2.204
40996_s_at	NEFL	neurofilament, light polypeptide	-0.348	1.916
40997_at	PCBP2	poly(rC) binding protein 2	-0.378	2.986
41000_at	FOXN3	forkhead box N3	0.84	4.224
41003_at	PFDN4	prefoldin subunit 4	-0.64	2.434
41014_s_at	PITX2	paired like homeodomain 2	-0.316	2.071
41016_at	TNR	tenascin R	-0.438	3.014
41018_at	ABHD14A	abhydrolase domain containing 14A	-0.262	2.137
41020_at	PCSK2	proprotein convertase subtilisin/kexin type 2	-0.537	3.118
41024_f_at	GYPE	glycophorin E (MNS blood group)	-0.365	2.285
41033_at	ZNF84	zinc finger protein 84	0.49	3.706
41038_at	NCF2	neutrophil cytosolic factor 2	1.05	2.913
41042_r_at	MYO7A	myosin VIIA	-0.416	2.257
41043_at	SOX15	SRY-box 15	-0.366	3.735
41045_at	SECTM1	secreted and transmembrane 1	0.897	3.545
41047_at	C9orf16	chromosome 9 open reading frame 16	0.395	3.413
41052_s_at	LOC100507353///CACNA1A	uncharacterized LOC100507353///calcium voltage-gated channel subunit alpha1 A	-0.425	3.967
41054_at	FCHO1	FCH domain only 1	0.315	2.475
41058_g_at	ACOT13	acyl-CoA thioesterase 13	-0.652	1.869
41061_at	HIP1	huntingtin interacting protein 1	-0.408	2.365
41062_at	PCGF1	polycomb group ring finger 1	0.578	5.685
41066_at	SCGB2A1	secretoglobin family 2A member 1	0.719	3.136
41074_at	LGR5	leucine rich repeat containing G protein-coupled receptor 5	-0.531	2.686
41076_at	GJB3	gap junction protein beta 3	-0.36	2.905
41079_at	ASIC3	acid sensing ion channel subunit 3	-0.332	2.545
41088_at	ABHD2	abhydrolase domain containing 2	-0.345	3.614
41092_at	LDHC	lactate dehydrogenase C	-0.51	3.836
41096_at	S100A8	S100 calcium binding protein A8	1.601	3.794
41103_at	BRPF1	bromodomain and PHD finger containing 1	0.282	2.372
41105_s_at	AFDN	afadin, adherens junction formation factor	-0.332	2.368
41112_at	ZNF500	zinc finger protein 500	-0.403	3.247
41114_at	MAST2	microtubule associated serine/threonine kinase 2	-0.395	3.111
41121_at	STX16	syntaxin 16	-0.501	4.338
41125_r_at	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2	-0.854	7.059
41134_at	DLGAP4	DLG associated protein 4	-0.435	4.244
41135_at	RPL39	ribosomal protein L39	-0.623	2.593
41138_at	CD99	CD99 molecule	-0.474	2.071
41140_at	IFNGR2	interferon gamma receptor 2 (interferon gamma transducer 1)	1.079	8.531
41146_at	PARP1	poly(ADP-ribose) polymerase 1	0.737	5.078
41161_at	DAXX	death domain associated protein	0.469	2.573
41163_at	TMED3	transmembrane p24 trafficking protein 3	0.433	2.004
41164_at	IGHM	immunoglobulin heavy constant mu	2.35	3.894
41165_g_at	IGHM	immunoglobulin heavy constant mu	1.877	2.686
41166_at	IGHM	immunoglobulin heavy constant mu	0.46	3.498
41168_at	TAPBP	TAP binding protein (tapasin)	1.711	8.21
41170_at	LOC441155///ZC3H11A	zinc finger CCCH-type domain-containing-like///zinc finger CCCH-type containing 11A	0.939	4.165
41171_at	MIR7703///PSME2	microRNA 7703///proteasome activator subunit 2	1.895	9.775
41175_at	CBFB	core-binding factor beta subunit	0.482	4.033
41177_at	LPCAT1	lysophosphatidylcholine acyltransferase 1	1.214	4.519
41179_at	RNF44	ring finger protein 44	0.692	4.669
41184_s_at	PSMB8	proteasome subunit beta 8	1.546	9.499
41187_at	MYL12B	myosin light chain 12B	0.684	2.873
41189_at	TNFRSF25	TNF receptor superfamily member 25	0.29	2.636
41193_at	DUSP6	dual specificity phosphatase 6	0.721	2.081
41198_at	GRN	granulin	0.334	1.966
41206_r_at	COX6A1	cytochrome c oxidase subunit 6A1	-0.994	2.17
41218_at	USP34	ubiquitin specific peptidase 34	0.869	4.064
41219_at	AHSA2	AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)	0.63	2.655
41224_at	LOC101929240///SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase pseudogene///small nuclear ribonucleoprotein U5 subunit 200	0.545	3.926
41226_at	DUSP3	dual specificity phosphatase 3	-0.373	4.317
41230_at	MAP2K5	mitogen-activated protein kinase kinase 5	0.478	4.281
41233_at	TMEM135///DNAJB6	transmembrane protein 135///DnaJ heat shock protein family (Hsp40) member B6	0.86	3.846
41235_at	ATF4	activating transcription factor 4	1.597	5.798
41237_at	HLA-A	major histocompatibility complex, class I, A	2.483	9.556
41238_s_at	CELA3B///CELA3A	chymotrypsin like elastase family member 3B///chymotrypsin like elastase family member 3A	-0.634	2.373
41239_r_at	CTSS	cathepsin S	3.072	3.604
41243_at	SLC35E2B///SLC35E2	solute carrier family 35 member E2B///solute carrier family 35 member E2	0.988	4.976
41246_at	SERPINE2	serpin family E member 2	1.102	3.478
41256_at	EEF1D	eukaryotic translation elongation factor 1 delta	1.449	7.996
41259_at	NOP16	NOP16 nucleolar protein	-0.428	3.194
41264_at	RBM4B	RNA binding motif protein 4B	-0.26	2.382
