ID	Gene.symbol	Gene.title	log2(fold change)(TX vs Control)	-log10(Pvalue)(TX vs Control)
39959_at	UBD///GABBR1	ubiquitin D///gamma-aminobutyric acid type B receptor subunit 1	1.234	2.13
39960_at	COQ2	coenzyme Q2, polyprenyltransferase	-0.815	4.451
39961_at	ATP10A	ATPase phospholipid transporting 10A (putative)	-0.336	1.972
39962_at	CDC42BPA	CDC42 binding protein kinase alpha	0.748	8.471
39963_at	ZKSCAN4	zinc finger with KRAB and SCAN domains 4	-0.285	2.253
39964_at	RP2	retinitis pigmentosa 2 (X-linked recessive)	0.886	3.01
39967_at	LDOC1	leucine zipper down-regulated in cancer 1	0.556	5.869
39968_at	LTC4S	leukotriene C4 synthase	0.57	6.236
39969_at	HIST2H4B///HIST4H4///HIST2H4A///HIST1H4L///HIST1H4E///HIST1H4B///HIST1H4H///HIST1H4C///HIST1H4J///HIST1H4K///HIST1H4F///HIST1H4D///HIST1H4A///HIST1H4I	histone cluster 2, H4b///histone cluster 4, H4///histone cluster 2, H4a///histone cluster 1, H4l///histone cluster 1, H4e///histone cluster 1, H4b///histone cluster 1, H4h///histone cluster 1, H4c///histone cluster 1, H4j///histone cluster 1, H4k///histone cluster 1, H4f///histone cluster 1, H4d///histone cluster 1, H4a///histone cluster 1, H4i	0.712	2.96
39970_at	NR0B1	nuclear receptor subfamily 0 group B member 1	-1.037	6.819
39971_at	LYL1	LYL1, basic helix-loop-helix family member	-0.457	3.068
39972_at	GPR17	G protein-coupled receptor 17	-0.574	5.317
39973_at	P3H3	prolyl 3-hydroxylase 3	-0.402	4.127
39975_at	UBFD1	ubiquitin family domain containing 1	0.214	1.568
39977_at	ZBTB11	zinc finger and BTB domain containing 11	1.176	8.53
39979_at	F10	coagulation factor X	-0.522	5.99
39982_r_at	MSR1	macrophage scavenger receptor 1	-1.172	2.184
39989_at	RRAGB	Ras related GTP binding B	0.631	9.318
39996_at	CD5L	CD5 molecule like	-0.404	3.067
39999_at	CASP10	caspase 10	-0.47	3.793
399_at	STK25	serine/threonine kinase 25	-0.306	1.666
40000_f_at	VPS13A	vacuolar protein sorting 13 homolog A	0.363	1.671
40001_r_at	VPS13A	vacuolar protein sorting 13 homolog A	0.78	1.58
40002_r_at	VPS13A	vacuolar protein sorting 13 homolog A	1.725	11.841
40003_at	GP2	glycoprotein 2	-0.465	4.401
40004_at	SIX1	SIX homeobox 1	-0.423	5.951
40006_at	ST3GAL2	ST3 beta-galactoside alpha-2,3-sialyltransferase 2	-0.587	5.908
40007_at	IKZF1	IKAROS family zinc finger 1	-0.318	2.399
40010_s_at	AFF2	AF4/FMR2 family member 2	-0.617	1.923
40011_s_at	AFF2	AF4/FMR2 family member 2	-0.36	2.333
40015_at	MAST4	microtubule associated serine/threonine kinase family member 4	-0.527	6.384
40016_g_at	MAST4	microtubule associated serine/threonine kinase family member 4	-0.375	2.926
40018_at	NUP58	nucleoporin 58	0.601	1.784
40019_at	EVI2B	ecotropic viral integration site 2B	1.454	2.447
40021_at	KCND1	potassium voltage-gated channel subfamily D member 1	-0.6	4.712
40022_at	FKTN	fukutin	-0.811	3.684
40024_at	STAC	SH3 and cysteine rich domain	-0.736	6.614
40027_at	ATP5S	ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)	0.262	1.511
40028_at	C1orf105	chromosome 1 open reading frame 105	-0.489	3.171
40029_at	MEGF6	multiple EGF like domains 6	-1.432	7.122
40033_at	MAPK11	mitogen-activated protein kinase 11	-0.427	1.896
40034_r_at	SCARF1	scavenger receptor class F member 1	0.652	1.805
40035_at	KLK11	kallikrein related peptidase 11	-0.274	2.73
40038_at	MIR6132///ST7-OT3///ST7	microRNA 6132///ST7 overlapping transcript 3///suppression of tumorigenicity 7	-0.654	5.014
40039_g_at	MIR6132///ST7-OT3///ST7	microRNA 6132///ST7 overlapping transcript 3///suppression of tumorigenicity 7	0.35	3.302
40042_r_at	LOC102724788	proline dehydrogenase 1, mitochondrial	-0.685	6.634
40044_at	ELL	elongation factor for RNA polymerase II	-0.526	3.309
40046_r_at	LDLRAD4	low density lipoprotein receptor class A domain containing 4	0.98	1.806
40048_at	PUM1	pumilio RNA binding family member 1	0.798	8.049
40049_at	DAPK1	death associated protein kinase 1	0.773	6.136
40050_at	CBFA2T2	CBFA2/RUNX1 translocation partner 2	-0.422	4.489
40051_at	TRAM2	translocation associated membrane protein 2	0.361	3.42
40055_s_at	MMP19	matrix metallopeptidase 19	-0.693	7.125
40057_at	PYGM	phosphorylase, glycogen, muscle	-0.523	2.871
40060_r_at	PDLIM5	PDZ and LIM domain 5	1.81	6.647
40061_at	PLAGL2	PLAG1 like zinc finger 2	-0.473	4.408
40062_s_at	MYL4	myosin light chain 4	-0.766	5.746
40063_at	CALCOCO2	calcium binding and coiled-coil domain 2	1.078	6.996
40064_at	TRAK2	trafficking kinesin protein 2	0.441	2.256
40065_s_at	DLG1	discs large MAGUK scaffold protein 1	0.653	4.792
40066_at	UBA3	ubiquitin like modifier activating enzyme 3	1.113	5.834
40067_at	ELF1	E74 like ETS transcription factor 1	0.749	4.191
40068_at	STX5	syntaxin 5	0.344	2.427
40069_at	SVIL	supervillin	0.954	5.526
40071_at	CYP1B1	cytochrome P450 family 1 subfamily B member 1	1.082	3.914
40072_at	MRPS31	mitochondrial ribosomal protein S31	0.657	2.093
40074_at	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	0.671	3.32
40077_at	ACO1	aconitase 1	0.399	2.074
40079_at	GPRC5A	G protein-coupled receptor class C group 5 member A	-0.365	2.826
40082_at	ACSL1	acyl-CoA synthetase long-chain family member 1	0.882	1.86
40086_at	WAPL	WAPL cohesin release factor	0.871	6.91
40087_at	UNC13B	unc-13 homolog B	0.276	2.395
40088_at	NRIP1	nuclear receptor interacting protein 1	1.241	7.732
40089_at	WBSCR22	Williams-Beuren syndrome chromosome region 22	0.405	2.443
40094_r_at	BCAM	basal cell adhesion molecule (Lutheran blood group)	-0.792	3.639
40095_at	CA2	carbonic anhydrase 2	0.827	3.126
40099_at	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2	-0.7	3.618
400_at	PDX1	pancreatic and duodenal homeobox 1	-1.029	7.83
40101_g_at	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2	-0.341	2.573
40102_at	OSBPL2	oxysterol binding protein like 2	-0.694	5.304
40103_at	EZR	ezrin	0.458	2.213
40104_at	STK25	serine/threonine kinase 25	0.352	3.179
40105_at	MUT	methylmalonyl-CoA mutase	1.344	10.526
40107_at	ALDOC	aldolase, fructose-bisphosphate C	-0.472	3.653
40108_at	BZW1	basic leucine zipper and W2 domains 1	1.181	6.436
40109_at	SRF	serum response factor	0.316	2.916
40110_at	IDH3B	isocitrate dehydrogenase 3 (NAD(+)) beta	-0.566	5.011
40111_g_at	IDH3B	isocitrate dehydrogenase 3 (NAD(+)) beta	0.181	1.856
40112_at	IDH3B	isocitrate dehydrogenase 3 (NAD(+)) beta	0.689	5.317
40113_at	TRIB2	tribbles pseudokinase 2	0.825	4.626
40117_at	MCM6	minichromosome maintenance complex component 6	0.464	4.931
40120_at	HAGH	hydroxyacylglutathione hydrolase	0.636	3.41
40121_at	UBE2K	ubiquitin conjugating enzyme E2 K	0.486	1.667
40122_at	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein	0.979	7.84
40123_at	GBF1	golgi brefeldin A resistant guanine nucleotide exchange factor 1	-0.343	5.256
40124_at	RUVBL1	RuvB like AAA ATPase 1	0.195	1.742
40125_at	CANX	calnexin	0.815	4.136
40128_at	CLINT1	clathrin interactor 1	1.205	6.807
40129_at	PRKDC	protein kinase, DNA-activated, catalytic polypeptide	1.074	6.509
40132_g_at	CCZ1B///CCZ1	CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated///CCZ1 homolog, vacuolar protein trafficking and biogenesis associated	0.635	3.919
40133_s_at	GRHPR	glyoxylate and hydroxypyruvate reductase	0.68	1.817
40134_at	ARMC2-AS1///ATP5J2	ARMC2 antisense RNA 1///ATP synthase, H+ transporting, mitochondrial Fo complex subunit F2	0.856	2.898
40139_at	MTOR	mechanistic target of rapamycin	0.465	5.463
40141_at	CUL4B	cullin 4B	0.824	7.552
40146_at	RAP1B	RAP1B, member of RAS oncogene family	1.16	5.614
40147_at	VAT1	vesicle amine transport 1	1.592	7.44
40149_at	SH2B1	SH2B adaptor protein 1	-0.335	4.415
40150_at	SNRPD3	small nuclear ribonucleoprotein D3 polypeptide	1.67	8.753
40151_s_at	PEX5	peroxisomal biogenesis factor 5	-0.487	5.076
40152_r_at	PEX5	peroxisomal biogenesis factor 5	-0.527	2.45
40153_at	TAP1	transporter 1, ATP binding cassette subfamily B member	0.476	1.745
40154_at	ARPC4-TTLL3///TTLL3///ARPC4	ARPC4-TTLL3 readthrough///tubulin tyrosine ligase like 3///actin related protein 2/3 complex subunit 4	-0.618	6.117
40159_r_at	NCF1C///NCF1B///NCF1	neutrophil cytosolic factor 1C pseudogene///neutrophil cytosolic factor 1B pseudogene///neutrophil cytosolic factor 1	-1.408	10.658
40160_at	POM121	POM121 transmembrane nucleoporin	0.384	3.785
40161_at	COMP	cartilage oligomeric matrix protein	-0.478	4.148
40162_s_at	COMP	cartilage oligomeric matrix protein	-0.777	2.456
40163_r_at	COMP	cartilage oligomeric matrix protein	-0.386	2.874
40167_s_at	WSB2	WD repeat and SOCS box containing 2	0.827	3.469
40170_at	PLIN3	perilipin 3	-0.621	3.137
40172_g_at	FRAT2	frequently rearranged in advanced T-cell lymphomas 2	-0.47	5.541
40173_at	FRAT2	frequently rearranged in advanced T-cell lymphomas 2	-0.636	6.048
40174_at	CLCN2	chloride voltage-gated channel 2	-0.605	6.179
40175_at	FAM131A	family with sequence similarity 131 member A	-0.277	2.95
40176_at	TRIM27	tripartite motif containing 27	0.332	2.734
40177_at			-1.005	2.668
40178_at	ZBTB33	zinc finger and BTB domain containing 33	-0.718	3.467
40179_at	ZBTB33	zinc finger and BTB domain containing 33	-0.413	2.348
40180_at	IRS2	insulin receptor substrate 2	-0.864	5.373
40181_f_at	IRS2	insulin receptor substrate 2	0.268	1.522
40182_s_at	CARM1	coactivator associated arginine methyltransferase 1	-0.668	8.25
40183_at	YIPF2	Yip1 domain family member 2	-0.545	3.682
40184_at	CSNK1A1	casein kinase 1 alpha 1	1.001	9.412
40185_at	GFAP	glial fibrillary acidic protein	-0.552	6.108
40186_at	DUSP9	dual specificity phosphatase 9	-0.435	2.203
40187_at	DDX52	DEAD-box helicase 52	0.963	9.226
40188_f_at			-0.285	2.969
40189_at	SETSIP///SET	SET-like protein///SET nuclear proto-oncogene	1.06	4.429
40190_at	CEP68	centrosomal protein 68	-0.613	2.766
40191_s_at	CEP68	centrosomal protein 68	0.893	3.088
40192_at			-0.854	5.466
40195_at	H2AFX	H2A histone family member X	0.204	1.543
40196_at	CTDSPL	CTD small phosphatase like	0.451	3.347
40197_at	CTDSPL	CTD small phosphatase like	-0.573	2.929
40198_at	VDAC1	voltage dependent anion channel 1	0.547	2.177
40199_at	MSX1	msh homeobox 1	-0.4	3.067
401_s_at	HLF	HLF, PAR bZIP transcription factor	-0.418	2.894
40200_at	HSF1	heat shock transcription factor 1	-0.432	5.062
40204_at	CTRL	chymotrypsin like	-0.658	5.108
40205_g_at	CTRL	chymotrypsin like	-0.499	4.919
40207_g_at	PSKH1	protein serine kinase H1	-0.797	3.125
40208_at	GDF11	growth differentiation factor 11	-0.468	2.141
40209_at	ICAM5	intercellular adhesion molecule 5	-0.74	4.497
40211_at	HNRNPA1P10///HNRNPA1	heterogeneous nuclear ribonucleoprotein A1 pseudogene 10///heterogeneous nuclear ribonucleoprotein A1	0.752	2.36
40212_at	KSR1	kinase suppressor of ras 1	-0.821	5.269
40213_at	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	0.979	6.667
40214_at	UGCG	UDP-glucose ceramide glucosyltransferase	-0.743	5.696
40215_at	UGCG	UDP-glucose ceramide glucosyltransferase	1.231	6.983
40216_at	TRAF3IP1	TRAF3 interacting protein 1	-0.61	3.191
40218_at	CDS1	CDP-diacylglycerol synthase 1	1.34	7.679
40220_at	HEXIM1	hexamethylene bisacetamide inducible 1	0.638	3.255
40221_at	TAF1C	TATA-box binding protein associated factor, RNA polymerase I subunit C	-0.411	3.429
40223_r_at	SBF1	SET binding factor 1	-0.247	1.656
40224_s_at	PPP6R2	protein phosphatase 6 regulatory subunit 2	-0.228	1.552
40225_at	GAK	cyclin G associated kinase	0.586	4.33
40226_at	GAK	cyclin G associated kinase	-0.667	5.875
40227_at	DCBLD2	discoidin, CUB and LCCL domain containing 2	0.349	2.372
40228_at	C21orf2	chromosome 21 open reading frame 2	-0.551	5.411
40230_at	FRZB	frizzled-related protein	-0.383	1.68
40233_at	DGCR6L	DiGeorge syndrome critical region gene 6-like	-0.337	2.725
40234_at	DGCR6L///DGCR6	DiGeorge syndrome critical region gene 6-like///DiGeorge syndrome critical region gene 6	-0.253	1.705
40235_at	TNK2	tyrosine kinase non receptor 2	-0.69	5.828
40236_at	SLC7A2	solute carrier family 7 member 2	-0.563	6.776
40238_at	IQCK	IQ motif containing K	0.38	2.551
40239_g_at	IQCK	IQ motif containing K	-0.515	4.148
40240_at	GPRC5B	G protein-coupled receptor class C group 5 member B	0.433	4.722
40241_at			-0.478	3.761
40242_at	THOC1	THO complex 1	0.471	4.966
40243_at	GNAL	G protein subunit alpha L	-0.658	7.275
40244_s_at	MPPE1	metallophosphoesterase 1	0.536	5.934
40246_at	DLG1	discs large MAGUK scaffold protein 1	0.94	4.493
40248_at	SLC9A7	solute carrier family 9 member A7	-0.35	3.661
40249_at	ACHE	acetylcholinesterase (Cartwright blood group)	-0.594	7.3
40250_at	KRR1	KRR1, small subunit processome component homolog	0.815	3.68
40252_g_at			-1.222	7.141
40254_s_at	DDX28	DEAD-box helicase 28	-0.285	1.755
40255_at	DDX28	DEAD-box helicase 28	-0.45	5.595
40256_at			-0.339	1.788
40257_at	KANK3	KN motif and ankyrin repeat domains 3	-0.654	6.657
40260_g_at	RBFOX2	RNA binding protein, fox-1 homolog 2	0.763	6.943
40261_at	RBFOX2	RNA binding protein, fox-1 homolog 2	-0.554	4.643
40263_at	ZFPL1	zinc finger protein like 1	-0.452	2.743
40265_s_at	TMEM262	transmembrane protein 262	-0.84	5.907
40268_at	FOSL2	FOS like 2, AP-1 transcription factor subunit	-0.622	9.632
40269_at	PRPF18	pre-mRNA processing factor 18	0.468	5.065
40270_at	CDK13	cyclin dependent kinase 13	-0.242	1.927
40271_at	NUP93	nucleoporin 93	-0.313	3.934
40272_at	CRMP1	collapsin response mediator protein 1	-0.431	2.723
40274_at	DBP	D-box binding PAR bZIP transcription factor	0.328	1.589
40275_at	KPNA6	karyopherin subunit alpha 6	-0.319	1.889
40277_at	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2	-0.478	7.369
40279_at	VGLL4	vestigial like family member 4	0.339	3.197
40281_at	SEPT2	septin 2	0.401	2.076
40283_at	CFD	complement factor D	-0.758	7.29
40284_at	FOXA2	forkhead box A2	-0.333	2.056
40286_r_at	KLHL35	kelch like family member 35	-0.941	7.998
40287_s_at	KLHL35	kelch like family member 35	-0.298	2.128
40288_r_at	KLHL35	kelch like family member 35	-0.924	9.911
40290_f_at	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	0.855	7.085
40291_r_at	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	-0.606	4.161
40292_at	BRINP1	BMP/retinoic acid inducible neural specific 1	-0.313	2.914
40293_at	FBP2	fructose-bisphosphatase 2	-0.37	2.952
40295_at	CPNE6	copine 6	-0.548	6.871
40296_at	SASH3	SAM and SH3 domain containing 3	-0.467	4.887
40297_at	STEAP1	six transmembrane epithelial antigen of the prostate 1	0.424	3.152
40298_at	ATP2C2	ATPase secretory pathway Ca2+ transporting 2	-0.5	5.226
40299_at	GPR161	G protein-coupled receptor 161	-0.968	10.661
40300_g_at	GPR161	G protein-coupled receptor 161	0.183	1.853
40301_at	GPR161	G protein-coupled receptor 161	-0.503	1.979
40302_at	EMID1	EMI domain containing 1	-0.357	2.157
40304_at	DST	dystonin	-0.538	2.021
40305_r_at	PIGK	phosphatidylinositol glycan anchor biosynthesis class K	1.101	4.572
40306_at	KIAA1549///BRAF	KIAA1549///B-Raf proto-oncogene, serine/threonine kinase	0.485	3.671
40308_at	ATAD2B	ATPase family, AAA domain containing 2B	0.466	5.087
40311_at	TFR2	transferrin receptor 2	-0.443	8.048
40312_at	DACH1	dachshund family transcription factor 1	0.307	1.732
40315_at	SPINK5	serine peptidase inhibitor, Kazal type 5	-0.403	1.674
40318_at	DYNC1I1	dynein cytoplasmic 1 intermediate chain 1	-0.46	1.561
40319_at	DYNC1I1	dynein cytoplasmic 1 intermediate chain 1	-0.632	4.109
40320_at	CDC14A	cell division cycle 14A	-0.405	1.957
40321_at	IL1RL1	interleukin 1 receptor like 1	-0.908	8.174
40322_at	IL1RL1	interleukin 1 receptor like 1	0.458	3.88
40324_r_at	TOP3B	topoisomerase (DNA) III beta	-0.757	8.329
40325_at	NTHL1	nth like DNA glycosylase 1	0.208	1.989
40326_at	CBLN1	cerebellin 1 precursor	-0.429	3.178
40327_at	HOXB13	homeobox B13	-0.511	6.351
40328_at	TWIST1	twist family bHLH transcription factor 1	-0.93	7.356
40329_at	SLC39A7	solute carrier family 39 member 7	-0.236	2.896
40331_at	MARCO	macrophage receptor with collagenous structure	-0.494	3.894
40332_at	OGFR	opioid growth factor receptor	0.247	1.922
40333_at	BMP4	bone morphogenetic protein 4	-0.518	5.1
40335_at	CLCN4	chloride voltage-gated channel 4	-0.306	2.16
40337_at	FUT1	fucosyltransferase 1 (H blood group)	-0.415	4.382
40342_at	DAZ4///DAZ2///DAZ3///DAZ1	deleted in azoospermia 4///deleted in azoospermia 2///deleted in azoospermia 3///deleted in azoospermia 1	-0.56	4.468
40346_at	FAM189A1	family with sequence similarity 189 member A1	-0.325	3.36
40349_at	CBR4	carbonyl reductase 4	1.643	8.843
40350_at	ADAM23	ADAM metallopeptidase domain 23	-0.921	9.184
40351_at	GNB3	G protein subunit beta 3	-0.312	3.448
40353_at	DPY19L4	dpy-19 like 4 (C. elegans)	0.715	5.757
40354_at	HSPA4L	heat shock protein family A (Hsp70) member 4 like	1.029	8.843
40356_at	CLCA2	chloride channel accessory 2	-0.429	2.174
40361_at	CCT6B	chaperonin containing TCP1 subunit 6B	0.442	3.588
40364_at	SLC31A1	solute carrier family 31 member 1	1.048	7.008
40369_f_at	HLA-G	major histocompatibility complex, class I, G	1.219	9.335
40370_f_at	HLA-G	major histocompatibility complex, class I, G	1.182	9.036
40371_at	DRD2	dopamine receptor D2	-0.532	4.458
40372_at	PNLIPRP1	pancreatic lipase related protein 1	-1.097	5.275
40373_at	PRH1-PRR4///PRR4///PRH2///PRH1	PRH1-PRR4 readthrough///proline rich 4 (lacrimal)///proline rich protein HaeIII subfamily 2///proline rich protein HaeIII subfamily 1	-0.259	1.544
40374_at	ANKRD1	ankyrin repeat domain 1	-0.701	7.495
40378_at	SH3GL2	SH3 domain containing GRB2 like 2, endophilin A1	0.486	2.292
40379_at	CYP2E1	cytochrome P450 family 2 subfamily E member 1	-0.374	2.242
40380_at	ELAVL4	ELAV like neuron-specific RNA binding protein 4	-0.45	2.063
40381_at	ZNF510	zinc finger protein 510	-0.308	2.27
40382_at	CRH	corticotropin releasing hormone	-0.525	4.243
40383_at	THOC5	THO complex 5	-0.535	4.416
40384_at	NPHP1	nephrocystin 1	-0.687	4.472
40386_r_at	TDGF1	teratocarcinoma-derived growth factor 1	0.785	1.87
40392_at	CDX2	caudal type homeobox 2	-0.556	4.581
40396_at	P2RX5	purinergic receptor P2X 5	-0.521	4.564
40397_at	MEOX2	mesenchyme homeobox 2	-0.303	1.555
40399_r_at	MEOX2	mesenchyme homeobox 2	-0.339	1.52
403_s_at	FLT4	fms related tyrosine kinase 4	-0.481	6.695
40400_at	ADORA1	adenosine A1 receptor	-0.28	2.569
40401_at	DOK5	docking protein 5	0.375	1.987
40404_s_at	CDC16	cell division cycle 16	0.814	5.58
40405_at	NAB2	NGFI-A binding protein 2	-0.45	3.146
40407_at	KPNA2	karyopherin subunit alpha 2	1.305	6.437
40408_at	CARS	cysteinyl-tRNA synthetase	0.757	6.737
40409_at	ALDH3A2	aldehyde dehydrogenase 3 family member A2	0.829	3.462
40410_at	DCTN3	dynactin subunit 3	0.464	7.611
40413_at	DAP3	death associated protein 3	0.733	5.985
40415_at	ACAA1	acetyl-CoA acyltransferase 1	0.711	2.122
40416_at	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	-0.797	6.997
40417_at	CCT5	chaperonin containing TCP1 subunit 5	1.315	7.339
40418_at	RBBP4	RB binding protein 4, chromatin remodeling factor	0.691	2.95
40419_at	STOM	stomatin	0.691	4.654
40421_at	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1	0.497	1.922
40422_at	IGFBP2	insulin like growth factor binding protein 2	1.143	6.13
40423_at	EHBP1	EH domain binding protein 1	0.856	7.165
40424_at	PROSC	proline synthetase cotranscribed homolog (bacterial)	1.293	8.715
40427_at	POPDC2///COX17	popeye domain containing 2///COX17, cytochrome c oxidase copper chaperone	0.924	6.029
40432_at	GNS	glucosamine (N-acetyl)-6-sulfatase	0.681	4.646
40433_at	GNS	glucosamine (N-acetyl)-6-sulfatase	0.291	2.46
40434_at	PODXL	podocalyxin like	0.759	1.79
40437_at	TMEM87A	transmembrane protein 87A	0.749	5.295
40438_at	PPP1R12A	protein phosphatase 1 regulatory subunit 12A	1.163	3.813
40439_at	ASNA1	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)	0.393	3.339
40440_at	SERBP1	SERPINE1 mRNA binding protein 1	0.483	3.5
40441_g_at	SERBP1	SERPINE1 mRNA binding protein 1	1.585	7.266
40442_f_at	SERBP1	SERPINE1 mRNA binding protein 1	-0.553	3.138
40443_at	CTNND1	catenin delta 1	1.018	7.726
40444_s_at	TMX2-CTNND1///CTNND1	TMX2-CTNND1 readthrough (NMD candidate)///catenin delta 1	0.429	2.676
40451_at	POLE	DNA polymerase epsilon, catalytic subunit	-0.286	1.774
40453_s_at	SRSF5	serine and arginine rich splicing factor 5	1.423	8.116
40455_at	ENDOD1	endonuclease domain containing 1	0.518	3.996
40456_at	SLC39A8	solute carrier family 39 member 8	1.095	5.753
40457_at	SRSF3	serine and arginine rich splicing factor 3	0.879	4.35
40458_at	STAT5A	signal transducer and activator of transcription 5A	-0.257	2.001
40459_at	ACOX1	acyl-CoA oxidase 1	0.839	5.273
40460_s_at	ACOX1	acyl-CoA oxidase 1	0.424	4.16
40461_at	ZHX3	zinc fingers and homeoboxes 3	-0.341	2.207
40462_at	TRPC4AP	transient receptor potential cation channel subfamily C member 4 associated protein	-0.724	5.302
40463_at	TNPO1	transportin 1	1.945	13.124
40464_g_at	TNPO1	transportin 1	1.977	12.792
40465_at	DDX23	DEAD-box helicase 23	-0.219	2.428
40467_at	SDHD	succinate dehydrogenase complex subunit D	-1.096	6.899
40468_at	FNBP1	formin binding protein 1	0.756	3.46
40469_at	MCM3AP	minichromosome maintenance complex component 3 associated protein	0.263	2.772
40470_at	OGDH	oxoglutarate dehydrogenase	0.985	7.489
40471_at	PEX19	peroxisomal biogenesis factor 19	0.806	3.641
40472_at	LPCAT4	lysophosphatidylcholine acyltransferase 4	-0.442	2.628
40473_at	STK24	serine/threonine kinase 24	0.994	9.312
40474_r_at	KPNA1	karyopherin subunit alpha 1	-1.044	5.218
40475_at	CAPN6	calpain 6	-0.59	4.55
40478_at	TMX4	thioredoxin related transmembrane protein 4	0.934	8.062
40479_at	FYN	FYN proto-oncogene, Src family tyrosine kinase	-1.029	4.446
40480_s_at	FYN	FYN proto-oncogene, Src family tyrosine kinase	1.604	9.245
40481_r_at	FYN	FYN proto-oncogene, Src family tyrosine kinase	-1.026	5.392
40482_s_at	C1orf61	chromosome 1 open reading frame 61	-1.02	4.953
40486_g_at	TRIM44	tripartite motif containing 44	-0.395	1.543
40487_at	TRIM44	tripartite motif containing 44	1.974	9.6
40488_at	DMD	dystrophin	0.358	2.078
40492_at	FRYL	FRY like transcription coactivator	0.198	1.676
40493_at	CD44	CD44 molecule (Indian blood group)	1.496	5.967
40494_at	DEDD	death effector domain containing	0.486	3.473
40495_at	ORAI2	ORAI calcium release-activated calcium modulator 2	-0.289	2.638
40496_at	C1S	complement component 1, s subcomponent	1.892	4.635
40499_r_at	NPRL2	NPR2-like, GATOR1 complex subunit	-0.718	6.904
40500_at	NDRG4	NDRG family member 4	-0.599	5.382
40502_r_at	MYBPC1	myosin binding protein C, slow type	-0.349	1.876
40503_at	MYBPC1	myosin binding protein C, slow type	-0.837	2.077
40504_at	PON2	paraoxonase 2	0.853	2.653
40505_at	UBE2L6	ubiquitin conjugating enzyme E2 L6	0.79	5.247
40506_s_at	LOC100996696///PABPC4	polyadenylate-binding protein 4 pseudogene///poly(A) binding protein cytoplasmic 4	0.615	4.561
40508_at	GSTA4	glutathione S-transferase alpha 4	0.423	5.214
40509_at	ETFA	electron transfer flavoprotein alpha subunit	1.192	4.468
40512_at	CHN1	chimerin 1	-0.981	3.99
40514_at	ERGIC3	ERGIC and golgi 3	0.714	5.992
40515_at	EIF2B2	eukaryotic translation initiation factor 2B subunit beta	0.925	7.824
40516_at	AHR	aryl hydrocarbon receptor	1.386	6.362
40517_at	TTC37	tetratricopeptide repeat domain 37	1.289	6.401
40518_at	PTPRC	protein tyrosine phosphatase, receptor type C	1.488	3.423
40519_at	PTPRC	protein tyrosine phosphatase, receptor type C	1.992	3.358
40521_at	RGL2	ral guanine nucleotide dissociation stimulator like 2	0.383	2.881
40522_at	GLUL	glutamate-ammonia ligase	0.688	1.791
40523_at	FOXA2	forkhead box A2	-0.394	1.618
40524_at	PTPN21	protein tyrosine phosphatase, non-receptor type 21	-0.406	2.046
40525_at	DOT1L	DOT1 like histone lysine methyltransferase	-0.284	2.588
40526_at	DOT1L	DOT1 like histone lysine methyltransferase	-0.233	2.099
40527_at	KCNQ1	potassium voltage-gated channel subfamily Q member 1	-0.847	4.959
40528_at	LHX2	LIM homeobox 2	-0.475	1.649
40529_at	LHX2	LIM homeobox 2	-0.363	4.479
40530_at	APBB2	amyloid beta precursor protein binding family B member 2	-0.791	5.273
40531_at	SOX3	SRY-box 3	-0.831	3.849
40532_at	BIRC5	baculoviral IAP repeat containing 5	-0.455	3.038
40533_at	BIRC5	baculoviral IAP repeat containing 5	-0.784	5.716
40534_at			-0.674	2.43
40537_at	EIF5B	eukaryotic translation initiation factor 5B	0.647	4.655
40538_at	SLC26A10	solute carrier family 26 member 10	-0.52	3.151
40539_at	MYO9B	myosin IXB	-0.459	2.757
40540_at	KIAA1211L	KIAA1211 like	-0.571	5.72
40542_at	ASCL1	achaete-scute family bHLH transcription factor 1	-0.518	5.677
40543_at	ASCL1	achaete-scute family bHLH transcription factor 1	-0.574	2.024
40544_g_at	ASCL1	achaete-scute family bHLH transcription factor 1	-0.426	2.795
40546_s_at	NDUFA2	NADH:ubiquinone oxidoreductase subunit A2	0.74	2.755
40547_at	IK	IK cytokine, down-regulator of HLA II	-0.593	2.802
40549_at	CDK5	cyclin dependent kinase 5	0.185	2.025
40550_at	IDS	iduronate 2-sulfatase	-0.914	11.997
40555_at	RHOQ	ras homolog family member Q	0.476	3.324
40557_at	GUCA1B	guanylate cyclase activator 1B	-0.655	7.028
40558_at	GUCA1B	guanylate cyclase activator 1B	-0.596	4.541
