ID	Gene.symbol	Gene.title	log2(fold change)(AR vs TX)	-log10(Pvalue)(AR vs TX)
1469_at	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	0.45	5.149
1470_at	POLD2	DAN polymerase delta 2, accessory subunit	0.651	3.295
1474_s_at	MYB	MYB proto-oncogene, transcription factor	0.257	1.886
1477_s_at	CYP2C18	cytochrome P450 family 2 subfamily C member 18	0.48	5.819
1478_at	ITK	IL2 inducible T-cell kinase	0.985	4.199
1480_at	HSPA4	heat shock protein family A (Hsp70) member 4	-0.686	6.677
1481_at	MMP12	matrix metallopeptidase 12	0.578	2.168
1483_at	CDH4	cadherin 4	0.31	3.094
1484_at	CDH8	cadherin 8	0.696	1.903
1485_at	EPHA7	EPH receptor A7	-0.581	1.877
1486_at	POLR2J	RNA polymerase II subunit J	0.27	2.777
1487_at	ESRRA	estrogen related receptor alpha	-0.342	1.916
1488_at	PTPRK	protein tyrosine phosphatase, receptor type K	-0.977	5.064
1489_s_at	MYCL	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog	0.225	1.703
1491_at	PTX3	pentraxin 3	0.502	1.917
1492_f_at	CYP2A7	cytochrome P450 family 2 subfamily A member 7	0.342	3.094
1495_at	LTBP1	latent transforming growth factor beta binding protein 1	-0.624	3.167
1498_at	ZAP70	zeta chain of T cell receptor associated protein kinase 70	0.315	2.197
149_at	DDX39A	DEAD-box helicase 39A	0.632	3.664
1500_at	WT1	Wilms tumor 1	-0.612	3.651
1506_at	IL2RG	interleukin 2 receptor subunit gamma	0.489	2.919
1508_at	ITGA9	integrin subunit alpha 9	0.366	2.549
1509_at	MMP16	matrix metallopeptidase 16	0.34	2.846
150_at	MAGI1	membrane associated guanylate kinase, WW and PDZ domain containing 1	0.757	2.609
1510_g_at	MMP16	matrix metallopeptidase 16	0.555	4.056
1513_at	KLK3	kallikrein related peptidase 3	0.604	6.316
1514_g_at	KLK3	kallikrein related peptidase 3	0.764	1.966
1516_g_at	FEN1	flap structure-specific endonuclease 1	0.654	8.538
1517_at	CYP2F1	cytochrome P450 family 2 subfamily F member 1	0.619	6.988
1518_at	ETS1	ETS proto-oncogene 1, transcription factor	0.297	3.503
1519_at	ETS2	ETS proto-oncogene 2, transcription factor	1.04	3.476
1520_s_at	IL1B	interleukin 1 beta	1.138	2.16
1521_at	NME1	NME/NM23 nucleoside diphosphate kinase 1	-0.406	1.782
1522_at	TNK1	tyrosine kinase non receptor 1	0.329	3.79
1523_g_at	TNK1	tyrosine kinase non receptor 1	0.512	2.436
1524_at	MOK	MOK protein kinase	0.641	6.635
1525_s_at	FGF8	fibroblast growth factor 8	0.55	3.111
1527_s_at	N4BP2L1	NEDD4 binding protein 2 like 1	0.402	3.207
1532_g_at	N4BP2L2	NEDD4 binding protein 2 like 2	-0.377	2.604
1537_at	EGFR	epidermal growth factor receptor	-0.471	5.505
1541_f_at	IFNA6///IFNA5	interferon alpha 6///interferon alpha 5	0.542	4.84
1543_at	MAP2K6	mitogen-activated protein kinase kinase 6	0.598	2.661
1544_at	BLM	Bloom syndrome RecQ like helicase	0.597	5.039
1546_at	HYAL1	hyaluronoglucosaminidase 1	-0.763	5.105
1547_at	JAK3	Janus kinase 3	0.459	5.51
1548_s_at	IL10	interleukin 10	0.353	3.722
1551_g_at	MRPL28	mitochondrial ribosomal protein L28	0.479	3.499
1553_r_at	CYP2A13	cytochrome P450 family 2 subfamily A member 13	0.614	6.412
1554_f_at	CYP2A13	cytochrome P450 family 2 subfamily A member 13	0.421	4.375
1555_f_at	CYP2A7///CYP2A6	cytochrome P450 family 2 subfamily A member 7///cytochrome P450 family 2 subfamily A member 6	0.416	4.103
1559_at	PAK2	p21 (RAC1) activated kinase 2	0.456	2.269
155_s_at	SUMO1	small ubiquitin-like modifier 1	-0.703	2.938
1561_at	LOC101927562///DUSP8	uncharacterized LOC101927562///dual specificity phosphatase 8	1.084	8.954
1563_s_at	TNFRSF1A	TNF receptor superfamily member 1A	0.491	2.419
1566_at	NCAM1	neural cell adhesion molecule 1	0.581	3.884
1569_r_at	IL10RB	interleukin 10 receptor subunit beta	0.477	2.566
156_s_at	GPR19	G protein-coupled receptor 19	0.502	2.342
1571_f_at	RB1	RB transcriptional corepressor 1	-0.557	3.015
1573_at	PDGFB	platelet derived growth factor subunit B	0.683	11.207
1574_s_at	IL4	interleukin 4	0.948	2.777
1575_at	ABCB1	ATP binding cassette subfamily B member 1	-1.491	7.293
1579_at	OSM	oncostatin M	0.408	4.933
157_at	PRAME	preferentially expressed antigen in melanoma	0.491	2.222
1583_at	TNFRSF1B	TNF receptor superfamily member 1B	1.575	5.321
1585_at	ERBB3	erb-b2 receptor tyrosine kinase 3	-2.233	5.847
1587_at	RARG	retinoic acid receptor gamma	0.332	2.482
1588_at	IFNAR2	interferon alpha and beta receptor subunit 2	0.325	2.371
1596_g_at	TEK	TEK receptor tyrosine kinase	-1.467	4.974
1599_at	CDKN3	cyclin dependent kinase inhibitor 3	0.457	2.279
160020_at	MMP14	matrix metallopeptidase 14	0.538	3.004
160022_at	CSF1R	colony stimulating factor 1 receptor	0.568	3.324
160023_at	WNT2	Wnt family member 2	0.39	1.757
160028_s_at	RET	ret proto-oncogene	0.456	3.966
160029_at	PRKCB	protein kinase C beta	1.58	7.978
160030_at	GHR	growth hormone receptor	-0.587	3.337
160034_s_at	FANCC	Fanconi anemia complementation group C	0.317	2.358
160035_at	CEACAM7	carcinoembryonic antigen related cell adhesion molecule 7	0.69	4.608
160036_at	ESRRB	estrogen related receptor beta	0.646	4.876
160038_s_at	INS	insulin	0.482	5.487
160039_at	MAPK4	mitogen-activated protein kinase 4	0.284	2.977
160041_at	PTPN18	protein tyrosine phosphatase, non-receptor type 18	0.418	2.596
160042_s_at	HOXB6	homeobox B6	0.254	2.31
160043_at	MYBL1	MYB proto-oncogene like 1	0.563	2.769
160044_g_at	ACO2	aconitase 2	-1.717	7.978
1600_at	TXK	TXK tyrosine kinase	0.317	1.934
1602_at	PRKCI	protein kinase C iota	-1.81	6.644
