ID	Gene.symbol	Gene.title	log2(fold change)(TX vs Control)	-log10(Pvalue)(TX vs Control)	log2(fold change)(AR vs TX)	-log10(Pvalue)(AR vs TX)	log2(fold change)(AR vs Control)	-log10(Pvalue)(AR vs Control)	log2(fold change)(AR vs NR)	-log10(Pvalue)(AR vs NR)
37978_at	QPRT	quinolinate phosphoribosyltransferase	0.286	2.65	-0.949	11.213	-0.663	7.69	-0.549	5.087
38029_at	SLC3A2	solute carrier family 3 member 2	0.388	2.183	-1.044	8.113	-0.656	4.615	-0.662	3.712
38085_at	CBX3	chromobox 3	1.231	7.167	-0.466	1.811	0.765	3.351	0.757	2.633
38091_at	LGALS9	galectin 9	-0.464	5.013	0.993	10.307	0.53	4.663	0.499	3.563
38095_i_at	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	1.735	5.793	1.129	2.097	2.864	7.956	1.932	4.047
38096_f_at	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	2.347	5.888	1.247	1.717	3.594	7.343	2.349	3.835
38111_at	VCAN	versican	1.12	2.232	1.29	3.112	2.41	6.166	1.448	2.736
38267_at	SLC1A1	solute carrier family 1 member 1	1.488	5.764	-2.542	9.25	-1.054	2.871	-1.281	3.174
38285_at	CRYM	crystallin mu	1.215	5.936	-1.972	9.417	-0.757	2.918	-1.136	4.156
38287_at	PSMB9	proteasome subunit beta 9	1.054	4.283	1.15	4.251	2.203	8.869	1.62	5.388
38363_at	TYROBP	TYRO protein tyrosine kinase binding protein	0.966	3.16	2.032	5.736	2.997	8.931	2.141	5.307
38378_at	CD53	CD53 molecule	0.914	2.561	1.75	5.578	2.663	8.601	2.038	5.449
38631_at	TNFAIP2	TNF alpha induced protein 2	0.585	1.584	1.071	3.706	1.656	6.176	1.341	3.846
38666_at	CYTH1	cytohesin 1	0.585	3.432	0.63	3.75	1.215	8.112	0.815	4.091
38685_at	STX12	syntaxin 12	0.941	9.007	-0.364	2.472	0.577	4.368	0.479	2.715
38796_at	C1QB	complement C1q B chain	0.936	2.311	2.064	4.899	3.001	7.532	1.814	3.451
38833_at	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	0.87	3.32	0.995	2.894	1.866	6.96	1.187	3.074
38882_r_at	LOC101930303///TRIM16L///TRIM16	uncharacterized LOC101930303///tripartite motif containing 16-like///tripartite motif containing 16	-0.44	3.244	-0.396	2.679	-0.836	6.842	-0.672	4.29
39043_at	ARPC1B	actin related protein 2/3 complex subunit 1B	-0.489	2.135	1.559	7.984	1.07	4.885	0.819	2.787
39128_r_at	PTPA	protein phosphatase 2 phosphatase activator	-1.042	9.201	0.392	2.555	-0.65	4.548	-0.513	2.64
39243_s_at	PSIP1	PC4 and SFRS1 interacting protein 1	1.212	9.03	-0.478	2.579	0.734	4.288	0.606	2.646
39311_at	FOLR1	folate receptor 1	0.31	1.875	-0.677	5.365	-0.368	2.302	-0.505	2.834
